id,a1,a2,a3,a4,A1,a5,a6,a7,a8,A2,a9,a10,a11,a12,a13,A3,a14,a15,a16,a17,a18,A4,a,b1,b2,b3,b4,b5,b6,b7,b8,B,c1,c2,c3,c4,c5,c6,C,d1,d2,d3,d4,D1,d5,d6,d7,d8,d9,D2,d10,d11,d12,d13,D3,d14,d15,d16,d17,D4,d,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e
15,4,4,3,3,3.5,2,2,4,2,2.5,4,4,4,4,5,4.2,4,3,3,3,3,3.2,3.39,4,4,4,4,1,1,4,4,3.25,4,2,4,4,4,4,3.67,4,4,4,4,4,5,5,5,5,4,4.8,3,3,4,3,3.25,4,4,3,3,3.5,3.94,2,2,3,1,4,1,1,1,2,1,1.8
16,4,4,4,4,4,3,3,4,5,3.75,3,3,3,4,4,3.4,4,5,5,5,5,4.8,4,5,5,4,4,4,4,5,5,4.5,5,4,4,3,3,3,3.67,4,4,5,5,4.5,5,5,5,5,5,5,3,3,3,3,3,4,4,3,3,3.5,4.06,2,1,4,3,1,2,1,1,6,1,2.2
17,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3.2,4,4,4,4,4,4,3.78,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,4,4,3.75,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3.5,3.82,2,2,4,3,2,1,1,1,5,1,2.2
18,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3.4,5,5,5,5,5,5,4.56,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4.5,4,4,4,4,4,4,3,3,3,3,3.2,3,3,3,3,3,3,3,2,3,2.75,3.24,2,2,3,3,2,5,1,1,1,2,2.2
19,2,2,5,5,3.5,3,4,5,5,4.25,5,3,3,4,4,3.8,4,5,5,5,5,4.8,4.11,4,4,4,3,3,3,4,4,3.63,4,3,3,3,4,3,3.33,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3.5,3.35,2,2,2,3,2,3,1,1,2,1,1.9
20,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3.6,4.11,5,5,5,1,1,3,3,3,3.25,1,2,1,2,2,1,1.5,3,4,4,4,3.75,4,5,5,5,5,4.8,4,5,4,4,4.25,3,2,2,3,2.5,3.88,2,2,2,3,1,2,1,1,7,4,2.5
21,5,5,5,5,5,2,4,5,5,4,3,2,3,3,3,2.8,4,4,3,4,5,4,3.89,5,5,5,5,5,1,5,5,4.5,5,5,5,5,5,5,5,3,4,5,5,4.25,2,3,5,5,5,4,5,5,5,5,5,5,5,5,3,4.5,4.41,1,2,2,3,3,1,4,2,6,1,2.5
22,5,5,5,5,5,5,5,5,5,5,2,1,2,1,4,2,4,4,4,4,5,4.2,3.94,3,3,4,3,2,1,4,4,3,3,4,4,4,4,4,3.83,2,2,4,4,3,4,3,3,2,4,3.2,3,3,4,4,3.5,3,4,3,2,3,3.18,1,2,2,1,4,1,1,1,5,1,1.9
23,4,4,4,4,4,3,4,4,4,3.75,4,3,3,3,4,3.4,2,3,4,4,3,3.2,3.56,5,5,5,3,3,3,4,4,4,4,4,4,3,3,4,3.67,3,3,4,3,3.25,3,3,4,4,4,3.6,3,3,3,3,3,3,2,2,3,2.5,3.12,2,2,2,3,3,4,1,1,9,1,2.8
24,2,2,5,5,3.5,3,4,5,5,4.25,5,3,3,4,4,3.8,4,5,5,5,5,4.8,4.11,4,4,4,3,3,3,4,4,3.63,4,3,3,3,4,3,3.33,4,4,5,5,4.5,3,4,4,4,4,3.8,3,3,3,3,3,4,4,3,3,3.5,3.71,2,2,2,3,2,3,1,1,7,1,2.4
25,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4.44,3,5,5,5,5,1,5,5,4.25,5,5,5,5,5,5,5,5,3,3,1,3,3,3,5,5,5,4.2,5,5,5,5,5,3,3,1,3,2.5,3.71,2,2,3,3,1,5,1,1,7,1,2.6
26,5,5,5,5,5,5,5,5,5,5,2,1,2,1,4,2,4,4,4,4,5,4.2,3.94,3,3,4,3,2,1,4,5,3.13,3,2,4,4,4,4,3.5,2,2,4,4,3,4,3,3,2,2,2.8,3,3,4,4,3.5,3,4,3,2,3,3.06,1,2,2,1,4,1,1,1,8,1,2.2
27,3,4,4,5,4,3,4,4,5,4,5,4,5,5,5,4.8,2,4,4,4,5,3.8,4.17,5,5,5,5,5,3,5,5,4.75,5,2,2,4,4,4,3.5,4,3,4,4,3.75,4,5,5,5,5,4.8,3,4,3,3,3.25,4,3,3,4,3.5,3.88,1,2,3,3,4,3,1,1,4,1,2.3
28,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,3,4,3,4,5,3.8,3.83,5,5,5,4,4,5,5,5,4.75,4,4,2,3,4,4,3.5,4,4,3,4,3.75,4,4,4,3,2,3.4,2,2,2,2,2,3,4,4,4,3.75,3.24,2,1,4,3,2,4,1,2,10,1,3
29,4,5,5,5,4.75,4,4,4,5,4.25,3,3,3,4,4,3.4,4,4,4,4,4,4,4.06,5,5,5,5,5,5,5,5,5,4,4,2,3,4,4,3.5,3,3,4,4,3.5,3,4,4,3,3,3.4,3,3,2,2,2.5,3,3,3,3,3,3.12,2,2,4,3,3,6,1,1,3,2,2.7
30,4,4,4,4,4,3,3,4,5,3.75,3,3,3,4,4,3.4,4,5,5,5,5,4.8,4,5,5,4,4,4,4,5,5,4.5,5,4,4,3,3,3,3.67,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,3,3,2,2,2.5,3.94,2,1,4,3,1,2,1,1,4,1,2
31,4,4,4,2,3.5,2,4,4,4,3.5,3,3,3,3,3,3,4,4,4,4,4,4,3.5,3,5,5,5,3,5,2,2,3.75,3,2,3,3,4,3,3,4,4,4,3,3.75,3,3,4,4,4,3.6,3,4,3,3,3.25,3,3,1,3,2.5,3.29,2,2,3,3,1,3,1,1,1,2,1.9
32,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,3.2,4,4,4,4,4,4,3.78,5,5,5,5,1,5,3,5,4.25,3,4,4,4,4,4,3.83,4,5,5,5,4.75,5,5,5,5,5,5,3,3,4,4,3.5,4,5,1,5,3.75,4.29,2,1,4,6,1,3,1,1,6,1,2.6
33,4,4,5,4,4.25,4,4,5,3,4,3,4,4,4,4,3.8,4,4,4,5,5,4.4,4.11,5,5,4,4,5,5,5,5,4.75,4,4,3,4,4,4,3.83,2,3,4,4,3.25,4,4,5,5,5,4.6,3,3,3,3,3,4,4,3,3,3.5,3.65,2,2,3,6,3,5,1,3,6,1,3.2
34,5,5,5,5,5,3,4,4,5,4,3,3,4,3,5,3.6,4,4,3,4,5,4,4.11,5,5,5,5,3,5,5,5,4.75,5,3,3,4,3,5,3.83,4,4,4,4,4,4,4,4,4,3,3.8,4,4,4,4,4,5,2,2,4,3.25,3.76,2,1,6,3,1,3,1,1,8,1,2.7
35,4,4,4,4,4,3,4,3,4,3.5,2,2,2,3,3,2.4,4,4,3,3,4,3.6,3.33,5,5,5,5,3,3,5,5,4.5,4,3,4,4,3,4,3.67,3,3,2,3,2.75,3,4,3,4,4,3.6,4,3,4,3,3.5,4,3,3,4,3.5,3.35,2,1,5,3,2,4,1,2,1,2,2.3
36,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4.5,5,5,5,4,4,4,5,5,4.63,2,3,2,2,2,4,2.5,3,4,4,4,3.75,4,4,4,5,5,4.4,3,3,3,3,3,3,3,3,3,3,3.59,2,2,5,6,1,3,1,1,2,1,2.4
37,5,5,5,5,5,4,5,5,5,4.75,2,2,4,4,4,3.2,4,4,4,5,5,4.4,4.28,5,5,5,5,4,4,5,5,4.75,2,4,2,2,4,4,3,2,2,2,2,2,2,4,4,4,4,3.6,2,2,2,2,2,2,2,2,2,2,2.47,2,1,4,3,1,4,1,1,5,2,2.4
38,4,4,4,4,4,3,4,3,4,3.5,2,2,2,3,3,2.4,4,4,3,3,4,3.6,3.33,5,5,5,5,3,3,5,5,4.5,4,3,4,4,3,4,3.67,3,3,2,3,2.75,3,4,3,4,4,3.6,4,3,4,3,3.5,4,3,3,4,3.5,3.35,2,1,5,3,2,4,1,2,2,1,2.3
39,5,5,5,5,5,4,5,5,5,4.75,4,4,4,5,5,4.4,4,4,5,5,5,4.6,4.67,5,5,5,4,5,5,5,5,4.88,2,4,2,4,4,4,3.33,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3.82,2,1,4,3,1,4,1,1,1,1,1.9
40,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3.8,4.44,5,5,5,4,4,4,5,5,4.63,2,3,2,2,2,4,2.5,3,4,4,4,3.75,4,4,5,5,5,4.6,3,3,3,3,3,3,3,3,3,3,3.65,2,2,5,6,1,3,1,1,3,1,2.5
41,5,5,5,5,5,4,5,5,5,4.75,2,2,4,4,4,3.2,4,4,4,5,5,4.4,4.28,5,5,5,5,4,4,5,5,4.75,2,4,2,2,4,4,3,2,2,2,2,2,2,5,5,5,5,4.4,2,2,2,2,2,3,3,3,3,3,2.94,2,1,4,3,1,4,1,1,2,2,2.1
42,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3.6,2,4,4,4,4,3.6,3.78,5,5,4,4,4,4,5,5,4.5,4,4,2,3,3,4,3.33,3,3,4,4,3.5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2.25,3.24,2,1,4,5,2,1,1,1,2,2,2.1
43,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,3.8,5,5,5,4,5,4.8,4.61,5,5,5,4,4,4,5,5,4.63,3,3,3,3,4,3,3.17,2,3,4,4,3.25,4,4,4,5,5,4.4,4,3,4,4,3.75,3,3,3,3,3,3.65,2,2,3,6,4,1,1,1,8,1,2.9
44,4,4,4,4,4,2,2,4,3,2.75,5,5,5,5,5,5,5,5,5,4,5,4.8,4.22,5,5,5,4,4,4,5,5,4.63,3,3,3,3,4,3,3.17,2,3,4,4,3.25,4,4,5,5,5,4.6,4,3,4,4,3.75,3,3,3,3,3,3.71,2,2,3,6,4,3,1,1,4,4,3
45,4,3,5,4,4,4,5,5,5,4.75,4,4,4,4,4,4,3,3,4,4,5,3.8,4.11,3,2,2,3,4,3,4,5,3.25,4,4,4,4,3,4,3.83,4,4,4,3,3.75,4,3,4,3,4,3.6,4,4,4,4,4,4,4,1,2,2.75,3.53,2,2,1,1,2,1,1,1,7,1,1.9
46,5,5,5,5,5,3,3,3,5,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3.56,5,5,3,3,3,3,5,5,4,2,3,2,2,3,3,2.5,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3.53,2,2,2,1,2,1,1,1,10,1,2.3
47,4,4,4,4,4,2,2,4,4,3,4,2,2,4,2,2.8,2,2,2,4,4,2.8,3.11,5,5,5,3,4,4,5,4,4.38,3,2,2,3,4,4,3,2,2,4,4,3,4,4,4,4,3,3.8,3,3,3,3,3,3,2,2,3,2.5,3.12,2,2,2,1,2,1,1,1,2,1,1.5
48,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,5,5,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,1,1,1,5,1,1.8
49,3,3,4,4,3.5,3,3,4,4,3.5,4,3,3,3,4,3.4,3,5,3,5,4,4,3.61,5,4,3,3,3,3,4,3,3.5,3,2,2,2,3,4,2.67,4,3,3,3,3.25,4,4,4,2,3,3.4,3,3,2,3,2.75,2,2,2,2,2,2.88,2,2,2,1,2,1,1,1,1,1,1.4
50,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.78,3,3,3,3,3,3,3,5,3.25,4,4,3,4,4,4,3.83,3,3,5,3,3.5,3,3,3,3,3,3,4,3,3,3,3.25,3,3,3,5,3.5,3.29,2,2,2,1,2,1,1,1,1,1,1.4
51,2,2,2,2,2,1,1,1,1,1,4,5,4,4,5,4.4,4,5,4,4,4,4.2,3.06,4,4,4,2,2,2,5,5,3.5,1,2,1,1,1,1,1.17,1,1,4,1,1.75,4,5,4,4,5,4.4,4,5,4,4,4.25,2,1,1,1,1.25,3,1,2,4,1,5,9,1,1,10,5,3.9
52,5,5,5,5,5,4,5,5,5,4.75,3,4,4,4,4,3.8,4,4,4,4,5,4.2,4.39,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,3.83,4,3,4,4,3.75,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,1,3,1,1,2,2,2.2
53,1,1,1,1,1,1,1,4,4,2.5,5,2,2,4,5,3.6,5,4,2,3,4,3.6,2.78,5,5,5,5,5,5,5,5,5,4,3,2,4,4,4,3.5,4,4,4,2,3.5,2,3,3,3,3,2.8,2,2,2,2,2,2,2,2,2,2,2.59,2,1,5,5,1,2,1,1,2,1,2.1
54,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3.6,4,4,4,4,4,4,3.89,5,5,5,5,5,5,5,5,5,4,4,2,3,4,4,3.5,4,2,4,3,3.25,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,2.5,3.24,2,2,4,4,1,3,1,1,7,2,2.7
55,5,5,5,5,5,4,4,4,5,4.25,5,3,3,4,4,3.8,4,4,4,4,4,4,4.22,5,5,5,5,2,2,5,5,4.25,5,4,3,4,4,5,4.17,3,3,4,4,3.5,5,5,5,5,4,4.8,5,5,5,5,5,2,2,1,3,2,3.88,2,2,3,3,2,2,1,1,1,2,1.9
56,4,5,5,5,4.75,4,4,5,5,4.5,5,4,4,5,5,4.6,5,5,5,5,4,4.8,4.67,5,4,5,4,4,4,5,5,4.5,3,3,3,4,4,4,3.5,4,4,4,4,4,3,4,4,3,4,3.6,3,3,4,3,3.25,3,3,3,3,3,3.47,2,1,5,4,2,3,1,1,6,1,2.6
57,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,4.75,4,4,3,3,3,3,3.33,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3.53,2,1,7,5,1,4,1,1,6,2,3
58,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,2.8,4,4,4,4,4,4,3.67,5,5,3,3,2,3,5,5,3.88,2,2,2,2,4,2,2.33,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,4,4,3,3,1,1,2,1,2.3
59,4,4,5,4,4.25,4,5,5,5,4.75,5,4,4,4,5,4.4,5,5,5,5,5,5,4.61,5,5,2,3,3,3,5,5,3.88,2,2,2,1,2,2,1.83,4,4,5,4,4.25,4,5,5,5,5,4.8,2,3,3,3,2.75,2,2,2,2,2,3.53,2,1,5,4,3,5,1,1,9,1,3.2
60,3,5,4,5,4.25,4,5,5,5,4.75,3,3,2,3,4,3,3,4,4,4,4,3.8,3.89,5,5,5,5,3,5,5,5,4.75,5,5,2,4,4,4,4,4,2,3,4,3.25,5,5,5,5,3,4.6,5,5,5,5,5,2,1,2,3,2,3.76,2,2,4,4,2,3,1,1,9,1,2.9
61,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3.6,4.11,5,5,5,5,5,5,5,5,5,5,5,1,3,3,4,3.5,3,3,3,4,3.25,4,3,3,3,3,3.2,4,4,4,4,4,3,3,3,3,3,3.35,1,2,2,1,2,1,1,1,2,1,1.4
62,3,3,4,4,3.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.89,5,5,5,5,5,5,5,5,5,5,3,1,3,4,4,3.33,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4.5,4,3,3,4,3.5,4,1,2,2,1,2,1,1,1,8,1,2
63,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,1,3,3,3,2.83,3,3,3,3,3,4,3,3,4,4,3.6,4,4,4,4,4,3,3,3,3,3,3.41,2,2,2,1,2,1,1,1,10,1,2.3
64,4,3,4,4,3.75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.17,5,5,5,5,5,5,5,5,5,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3.24,1,2,2,1,2,1,1,1,10,1,2.2
65,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,3,3,5,5,4.5,5,3,3,3,3,3,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,2,1,1,1,8,1,2
66,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3.28,5,5,5,3,3,3,3,3,3.75,3,3,2,3,3,3,2.83,3,3,3,3,3,3,3,3,3,2,2.8,4,4,4,4,4,3,3,3,3,3,3.18,1,2,1,1,2,1,1,1,8,1,1.9
67,4,4,5,4,4.25,3,4,4,4,3.75,3,3,3,3,3,3,3,3,3,3,3,3,3.44,5,5,5,5,3,3,5,5,4.5,5,3,1,3,3,3,3,3,3,3,4,3.25,3,3,3,3,3,3,4,3,4,4,3.75,3,3,3,3,3,3.24,1,2,2,1,2,1,1,1,3,1,1.5
68,4,3,4,4,3.75,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3.44,5,5,5,5,5,5,5,5,5,4,3,3,3,4,4,3.5,3,4,4,4,3.75,4,3,4,4,4,3.8,4,4,4,4,4,4,3,3,4,3.5,3.76,1,2,2,1,2,1,1,1,2,1,1.4
69,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,4.4,5,5,5,5,5,5,4.61,4,4,4,3,3,3,5,5,3.88,4,4,4,5,4,4,4.17,4,4,4,4,4,5,4,5,5,5,4.8,4,4,4,4,4,3,3,3,3,3,4,1,2,2,1,2,1,1,1,2,1,1.4
70,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3.5,5,5,5,5,5,5,5,5,5,4,3,2,3,3,3,3,4,3,3,4,3.5,3,3,3,3,3,3,3,3,4,4,3.5,3,3,3,3,3,3.24,1,2,2,1,2,1,1,2,10,1,2.3
71,3,3,3,3,3,4,3,3,3,3.25,3,3,3,3,3,3,4,4,3,3,4,3.6,3.22,4,4,3,2,3,3,4,4,3.38,4,4,4,4,3,3,3.67,4,4,4,4,4,3,3,3,3,3,3,4,3,4,4,3.75,4,3,3,4,3.5,3.53,1,2,2,1,3,1,1,1,4,1,1.7
72,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4.22,5,5,5,1,3,3,5,5,4,4,4,4,4,4,5,4.17,5,5,5,5,5,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3.29,2,2,2,1,2,1,1,1,8,1,2.1
73,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3.06,4,4,5,5,5,5,5,5,4.75,4,4,2,2,2,2,2.67,4,3,4,3,3.5,3,4,4,4,4,3.8,4,4,4,4,4,3,3,3,3,3,3.59,2,1,4,3,2,3,1,1,9,5,3.1
74,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3.06,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3.06,2,1,4,4,1,3,1,1,2,1,2
75,4,5,5,5,4.75,4,5,5,5,4.75,3,3,3,3,3,3,4,4,3,5,4,4,4.06,5,5,5,5,5,5,5,5,5,1,3,1,2,4,4,2.5,4,4,3,4,3.75,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3.25,3.76,2,1,6,4,1,3,1,1,5,2,2.6
76,3,3,3,3,3,3,4,3,3,3.25,4,3,3,3,3,3.2,4,4,4,4,4,4,3.39,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3.83,44,3,3,4,13.5,4,3,3,3,4,3.4,3,4,4,4,3.75,4,4,4,4,4,6,2,2,3,6,1,3,1,1,1,1,2.1
77,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,3.06,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1.33,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2.47,2,2,2,3,2,3,1,1,6,2,2.4
78,4,4,4,4,4,5,5,5,5,5,4,4,4,5,5,4.4,5,5,5,5,4,4.8,4.56,4,5,5,3,3,3,4,4,3.88,4,3,4,4,4,5,4,4,5,5,5,4.75,4,4,4,4,4,4,3,4,4,3,3.5,4,4,4,3,3.75,4,2,2,3,1,3,1,1,1,2,1,1.7
79,4,4,5,5,4.5,5,5,5,5,5,4,4,4,5,4,4.2,5,5,5,5,5,5,4.67,5,5,4,5,5,4,5,5,4.75,4,5,4,5,5,5,4.67,5,5,5,5,5,4,4,5,4,4,4.2,4,5,4,5,4.5,5,5,5,5,5,4.65,2,2,3,3,3,2,1,2,2,1,2.1
80,4,4,5,4,4.25,4,4,3,4,3.75,4,3,3,4,3,3.4,4,4,5,4,4,4.2,3.89,5,5,4,5,5,3,5,5,4.63,4,3,4,5,3,4,3.83,3,4,4,4,3.75,3,4,4,5,5,4.2,4,4,5,5,4.5,4,5,5,3,4.25,4.18,2,1,4,5,2,1,1,1,6,1,2.4
81,2,2,2,2,2,2,2,3,2,2.25,4,4,4,4,4,4,3,3,3,3,3,3,2.89,5,5,5,5,3,3,5,5,4.5,4,3,4,4,3,3,3.5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,1,6,6,1,1,1,1,2,1,2.2
82,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3.56,5,5,5,5,2,4,5,5,4.5,2,2,2,2,4,2,2.33,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3.06,2,1,5,6,1,4,1,2,6,2,3
83,3,4,3,4,3.5,4,4,5,5,4.5,4,3,3,5,4,3.8,4,4,4,5,4,4.2,4,5,5,5,3,4,2,4,4,4,4,4,4,5,5,5,4.5,4,4,4,5,4.25,3,3,4,5,5,4,4,4,4,5,4.25,4,4,4,5,4.25,4.18,2,2,4,3,3,1,2,3,8,1,2.9
